GEOID,INVESTPER,INVESTPER_A,disadvantaged,RISK_SCORE,TotPop,CIscore,Ozone,PM2_5,PM2_5_P,DieselPM,DieselPM_P,Pesticide,PesticideP,Tox_Rel,Tox_Rel_P,Traffic,TrafficP,DrinkWat,DrinkWatP,Lead,Lead_P,Cleanup,CleanupP,GWThreat,GWThreatP,HazWaste,HazWasteP,ImpWatBod,ImpWatBodP,SolWaste,SolWasteP,PollBurd,PolBurdSc,PolBurdP,Asthma,AsthmaP,LowBirtWt,LowBirWP,Cardiovas,CardiovasP,Educatn,EducatP,Ling_Isol,Ling_IsolP,Poverty,PovertyP,Unempl,UnemplP,HousBurd,HousBurdP,Elderly65,Hispanic,White,AfricanAm,NativeAm,OtherMult,AAPI
6073003305,3.636222406,4.327353823,1,19.93440509,6601,43.20771604,0.04259906,10.41411439,51.86060983,0.684896645,95.04667082,0,0,415.7165934,47.87446862,2186.127847,89.6625,334.0470339,32.3217185,63.2266619,70.38437303,2,25.6252333,18.5,66.06342354,0.195,32.03176704,12,90.1301974,0,0,49.01042089,5.984162655,67.76602365,58.08,66.91176471,6.65,85.77110598,8.96,20.63808574,30.7,80.91622374,14,74.44850453,61.2,92.44974874,7.2,69.13066111,29.8,90.24081115,8.3775,57.9912,5.6961,27.814,0,0.409,8.0897
6075022702,3.637548053,4.34058288,0,13.86931062,2298,13.59983679,0.02937227,8.445627898,21.53080274,0.62443,93.64032358,0.030485687,17.93103448,375.0743256,45.81145286,1376.056873,74.7,258.7894396,15.03684276,39.89878543,37.0510397,19.95,81.63493841,20,68.42105263,6.935,98.7822634,16,96.26207476,2.35,55.71592211,52.45652753,6.404931592,76.68948351,44.95,48.6665005,4.19,31.07518604,8.58,17.79661017,4.1,16.79321691,1.7,13.30355934,7.3,4.72361809,1.7,4.229567933,6.3,3.079847909,8.2681,13.7946,66.7537,1.9147,0,4.8738,12.6632
6037573004,3.637810361,4.34320532,1,22.18850215,4577,43.86724132,0.03975537,11.66444496,64.92843808,0.23967,68.58742999,0,0,15567.5,99.06226557,782.286241,42.9,339.0441176,34.7321094,90.13078712,96.79899181,3.6,34.24785368,19.5,67.47468039,0.41,62.475182,10,82.96934061,0.2,9.667812142,52.77695228,6.44405539,77.57311761,85.4,87.84895314,4.84,47.95996921,17.37,77.81655035,31.4,81.70083523,3.4,27.25673298,41.6,71.54522613,3.7,26.86100989,31.7,92.83903676,7.2755,48.2631,9.5259,28.0752,0,1.5294,12.6065
6001401100,3.640127356,4.366438589,0,23.87284717,4287,32.92660505,0.02937227,9.673710228,46.07342875,0.637437097,94.08836341,0,0,569.1846618,54.20105026,1802.449805,83.8875,110.4123824,4.208817285,60.79475741,66.93131695,6.9,47.72303098,144.5,98.17366761,1.315,89.01389808,0,0,0,0,45.03689894,5.498996414,56.80149347,101.46,93.04586241,6.62,85.30921221,12.79,52.72931206,6.6,28.44849405,3.5,28.04168358,29,52.26130653,3.7,26.86100989,18.5,56.4765526,6.4847,10.7534,52.3909,7.7443,0,9.0273,20.084
6001432200,3.640366051,4.368839104,0,25.91937561,4078,21.16289902,0.03190818,8.415406028,20.58494088,0.258870135,71.52457996,0,0,465.8343302,50.18754689,439.5552406,16.6875,110.4123824,4.208817285,82.52648938,91.50598614,1.9,23.49757372,45.15,88.32807571,0.11,19.24553276,2,23.87652247,0,0,32.08684187,3.917797019,22.15308027,76.47,83.06331007,4.67,43.08442392,14.27,62.00149551,7.4,31.70083523,6.3,44.75571796,26.5,47.5,3.2,19.58615305,20.2,63.6121673,19.7401,24.2276,34.5758,22.0942,0.3678,5.8607,12.874
6037402801,3.641354369,4.378792533,1,25.57110691,4976,64.81937636,0.05763123,12.75120791,92.68201618,0.41567393,85.76228998,0,0,798.0096537,60.39009752,550.9859077,24.75,838.5494728,96.07843137,88.50817061,95.74039067,50.5,95.9873087,2.25,14.92611655,1.11,86.60489742,1,12.45275094,9.5,89.82817869,64.34841851,7.856929118,95.32047293,67.92,77.10618146,6.62,85.30921221,15.89,70.86241276,55,98.30422678,30.4,95.818108,54.4,86.50753769,3.7,26.86100989,41.4,99.02408112,5.3256,94.2122,1.4871,0,1.5273,0,2.7733
6085501800,3.64330052,4.398458714,0,23.24530133,4823,20.4638687,0.03975537,8.758676437,31.73615432,0.355067415,81.65525825,0,0,186.1876628,33.24581145,2751.553003,94.425,291.52549,22.74260022,72.76035113,82.15500945,11.35,64.29637925,82.35,95.46737506,0.31,51.72733289,4,43.78412432,0,0,47.58552503,5.810183154,63.82078407,32.93,30.23429711,4.65,42.51988709,8.76,19.06779661,17.1,59.997469,5.1,38.13777236,17.5,28.41708543,2.8,14.39354503,16.3,45.5513308,12.6892,43.417,41.157,1.6173,1.327,2.6332,9.8486
6059074406,3.643385673,4.399321211,1,23.66889349,3693,55.00507929,0.04899293,11.91975155,74.06347231,0.418126906,85.96141879,0,0,4507.456706,91.23530883,4013.047723,98.725,409.3622548,46.48432621,89.14207428,96.09325772,49.75,95.78200821,0.3,2.108583762,0.77,80.6882859,0,0,5.1,75.94501718,62.82951219,7.671470959,93.988799,50.68,57.55234297,6.52,83.84654863,12.3,48.91575274,48.2,95.4188813,22.4,89.61970497,46.7,78.27889447,3,17.11348256,32.3,93.58681876,4.9824,91.3891,4.3867,0.7853,0,1.0561,2.3829
6001409300,3.643896647,4.404500335,1,27.02008448,5303,36.58955007,0.03190818,8.115142802,15.07156192,0.181470307,58.49408836,0,0,507.2693278,51.76294074,625.6382603,30.25,110.4123824,4.208817285,90.02133651,96.77378702,52,96.2672639,38.25,85.14029553,0.145,24.71211118,2,23.87652247,1,35.71592211,39.62628792,4.838361884,41.84194151,208.36,99.88783649,3.12,10.58506543,17.84,80.09720837,34,84.32042521,13.3,72.2560563,56.1,88.31658291,9.6,84.57834461,25.7,81.9391635,10.0509,65.1707,4.7897,24.6087,0,2.1309,3.3
6065042209,3.645045458,4.41616669,1,34.57885085,5439,67.32957815,0.0685917,12.37480713,90.3546982,0.565422732,91.89794648,0.156407645,29.24137931,804.473002,60.50262566,1404.468239,75.525,693.8289152,77.36980142,47.41235325,47.88909893,23,84.60246361,8.1,40.9928607,2.785,95.51290536,0,0,1,35.71592211,64.65315668,7.894137588,95.56938395,61.6,70.78763709,7.29,92.41724403,17.81,79.97258225,19.8,64.51531258,12.6,70.30721343,72.3,98.15326633,14.4,96.25195211,28.4,87.69328264,4.9274,47.3065,19.1763,10.2592,2.7946,2.4821,17.9812
